feature,why
NAME_CONTRACT_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
CODE_GENDER,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLAG_OWN_CAR,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_OWN_REALTY,Binary indicator; simple yet often strong signals for specific conditions.
CNT_CHILDREN,Count-based feature; activity/application volume can relate to risk.
AMT_INCOME_TOTAL,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_CREDIT,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_ANNUITY,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_GOODS_PRICE,Amount-level feature; combine with ratios/normalization to reduce scale effects.
NAME_TYPE_SUITE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NAME_INCOME_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NAME_EDUCATION_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NAME_FAMILY_STATUS,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NAME_HOUSING_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REGION_POPULATION_RELATIVE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
DAYS_BIRTH,Time/lag feature; duration and recency often correlate with risk.
DAYS_EMPLOYED,Time/lag feature; duration and recency often correlate with risk.
DAYS_REGISTRATION,Time/lag feature; duration and recency often correlate with risk.
DAYS_ID_PUBLISH,Time/lag feature; duration and recency often correlate with risk.
OWN_CAR_AGE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLAG_MOBIL,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_EMP_PHONE,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_WORK_PHONE,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_CONT_MOBILE,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_PHONE,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_EMAIL,Binary indicator; simple yet often strong signals for specific conditions.
OCCUPATION_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
CNT_FAM_MEMBERS,Count-based feature; activity/application volume can relate to risk.
REGION_RATING_CLIENT,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REGION_RATING_CLIENT_W_CITY,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
WEEKDAY_APPR_PROCESS_START,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
HOUR_APPR_PROCESS_START,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REG_REGION_NOT_LIVE_REGION,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REG_REGION_NOT_WORK_REGION,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVE_REGION_NOT_WORK_REGION,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REG_CITY_NOT_LIVE_CITY,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
REG_CITY_NOT_WORK_CITY,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVE_CITY_NOT_WORK_CITY,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ORGANIZATION_TYPE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
EXT_SOURCE_1,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
EXT_SOURCE_2,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
EXT_SOURCE_3,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
APARTMENTS_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
BASEMENTAREA_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BEGINEXPLUATATION_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BUILD_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
COMMONAREA_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ELEVATORS_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ENTRANCES_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMAX_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMIN_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LANDAREA_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAPARTMENTS_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAREA_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAPARTMENTS_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAREA_AVG,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
APARTMENTS_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
BASEMENTAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BEGINEXPLUATATION_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BUILD_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
COMMONAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ELEVATORS_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ENTRANCES_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMAX_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMIN_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LANDAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAPARTMENTS_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAPARTMENTS_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
APARTMENTS_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
BASEMENTAREA_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BEGINEXPLUATATION_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
YEARS_BUILD_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
COMMONAREA_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ELEVATORS_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
ENTRANCES_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMAX_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FLOORSMIN_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LANDAREA_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAPARTMENTS_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
LIVINGAREA_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAPARTMENTS_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
NONLIVINGAREA_MEDI,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
FONDKAPREMONT_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
HOUSETYPE_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
TOTALAREA_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
WALLSMATERIAL_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
EMERGENCYSTATE_MODE,Domain- or aggregation-based feature summarizing patterns that models may struggle to derive.
OBS_30_CNT_SOCIAL_CIRCLE,Count-based feature; activity/application volume can relate to risk.
DEF_30_CNT_SOCIAL_CIRCLE,Count-based feature; activity/application volume can relate to risk.
OBS_60_CNT_SOCIAL_CIRCLE,Count-based feature; activity/application volume can relate to risk.
DEF_60_CNT_SOCIAL_CIRCLE,Count-based feature; activity/application volume can relate to risk.
DAYS_LAST_PHONE_CHANGE,Time/lag feature; duration and recency often correlate with risk.
FLAG_DOCUMENT_2,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_3,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_4,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_5,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_6,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_7,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_8,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_9,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_10,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_11,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_12,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_13,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_14,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_15,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_16,Binary indicator; simple yet often strong signals for specific conditions.
