feature,MI
FLAG_MOBIL,0.08021254981757275
FLAG_CONT_MOBILE,0.05994232388797571
CODE_GENDER_F,0.05768439257117253
FLAG_OWN_REALTY,0.05631599973231105
FLAG_DOCUMENT_3,0.05604545414055995
NAME_EDUCATION_TYPE_Secondary / secondary special,0.055785931651509246
FLAG_EMP_PHONE,0.05539060471138546
NAME_TYPE_SUITE_Unaccompanied,0.05460252053223891
NAME_FAMILY_STATUS_Married,0.05384076250717418
PREV_NFLAG_LAST_APPL_IN_DAY_min,0.052142349852003056
PREV_NFLAG_LAST_APPL_IN_DAY_max,0.05103992885169517
PREV_NFLAG_LAST_APPL_IN_DAY_mean,0.050288766009852104
NAME_HOUSING_TYPE_House / apartment,0.048969490191158815
NAME_INCOME_TYPE_Working,0.04583652756427936
HOUSETYPE_MODE_block of flats,0.04330917664090528
PREV_DAYS_FIRST_DRAWING_max,0.03921753701504627
PREV_DAYS_FIRST_DRAWING_mean,0.0356925943937727
PREV_DAYS_FIRST_DRAWING_min,0.0349341137500212
REGION_RATING_CLIENT_W_CITY,0.02740591396104053
REGION_RATING_CLIENT,0.027405299919880388
CNT_FAM_MEMBERS,0.02413972445010315
EMERGENCYSTATE_MODE,0.024008347619642878
EXT_SOURCE_MEAN,0.02362788888622025
FLAG_OWN_CAR,0.02147784382465523
CODE_GENDER_M,0.02059276762720974
EXT_SOURCE_MIN,0.018275114842829066
EXT_SOURCE_MAX,0.016739870858069272
INST_NUM_INSTALMENT_VERSION_min,0.014283751667445888
FLAG_PHONE,0.014111081872268283
EXT_SOURCE_3,0.013497641542838945
NAME_EDUCATION_TYPE_Higher education,0.012643414672594888
AMT_ANNUITY,0.01216555925350149
EXT_SOURCE_2,0.011929821090182813
DAYS_EMPLOYED,0.011389228801330198
FONDKAPREMONT_MODE_reg oper account,0.010822110254437467
NAME_INCOME_TYPE_Commercial associate,0.009606661248879877
REG_CITY_NOT_WORK_CITY,0.009143213217920332
WALLSMATERIAL_MODE_Panel,0.008632774922920694
ORGANIZATION_TYPE_Business Entity Type 3,0.008472279570336916
"WALLSMATERIAL_MODE_Stone, brick",0.008145293573055268
NAME_INCOME_TYPE_Pensioner,0.007901192121719802
AMT_CREDIT,0.007865801901942415
CREDIT_GOODS_RATIO,0.007681184522964513
FLOORSMAX_MODE,0.007503895039405961
FLAG_WORK_PHONE,0.007328793483077245
ORGANIZATION_TYPE_XNA,0.007251278373888059
FLOORSMAX_MEDI,0.006901680139726585
FLOORSMAX_AVG,0.006442705336565879
OCCUPATION_TYPE_Laborers,0.006316381053481646
ANNUITY_INCOME_RATIO,0.006244948862307531
HOUR_APPR_PROCESS_START,0.006089810397960971
AMT_GOODS_PRICE,0.005863460631566841
POS_CNT_INSTALMENT_max,0.005728797021380849
AMT_REQ_CREDIT_BUREAU_YEAR,0.005694295256050141
PREV_NFLAG_INSURED_ON_APPROVAL_max,0.005689677535074322
INST_NUM_INSTALMENT_NUMBER_min,0.00564047428265102
EXT_SOURCE_1,0.00563472784683694
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.005548684539926185
POS_CNT_INSTALMENT_min,0.005547434950158969
CREDIT_INCOME_RATIO,0.00546762777068821
LIVE_CITY_NOT_WORK_CITY,0.0054047513708959105
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.00537212347773508
INST_NUM_INSTALMENT_VERSION_max,0.005320486550926429
BUREAU_DAYS_CREDIT_mean,0.005277056566046934
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.005155109647817957
CNT_CHILDREN,0.005154488638825949
INST_NUM_INSTALMENT_VERSION_mean,0.0048288121884301205
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.004780681833587819
WEEKDAY_APPR_PROCESS_START_MONDAY,0.004640109539145731
EMPLOYMENT_YEARS,0.004527462173499197
ENTRANCES_MODE,0.004453424851251109
PREV_DAYS_TERMINATION_max,0.004099404968724407
PREV_DAYS_LAST_DUE_max,0.0040660647846673115
DAYS_BIRTH,0.004032880337659028
PREV_HOUR_APPR_PROCESS_START_min,0.003969640616473757
BUREAU_DAYS_CREDIT_UPDATE_mean,0.0039254419678038666
NAME_FAMILY_STATUS_Single / not married,0.003891632247381427
ENTRANCES_AVG,0.0037600707812228684
REGION_POPULATION_RELATIVE,0.0035416652461282006
ENTRANCES_MEDI,0.00350794618701733
NAME_TYPE_SUITE_Family,0.0034060666772490755
AGE_YEARS,0.0033932886438514664
BUREAU_AMT_CREDIT_SUM_max,0.003388003882868418
PREV_HOUR_APPR_PROCESS_START_max,0.0033709917507478426
BUREAU_DAYS_ENDDATE_FACT_mean,0.0033187179648888065
BUREAU_DAYS_CREDIT_min,0.0031831181713308787
ORGANIZATION_TYPE_Self-employed,0.0031765100241567534
BUREAU_DAYS_CREDIT_ENDDATE_min,0.003129187797665578
PREV_CNT_PAYMENT_max,0.0030884123023184884
BUREAU_DAYS_CREDIT_ENDDATE_max,0.0030740129435151697
DAYS_EMPLOYED_PERCENT,0.003067801840152873
BUREAU_DAYS_CREDIT_max,0.0030622153737731583
PREV_CNT_PAYMENT_min,0.0030006494147951646
FLOORSMIN_MODE,0.0028389420404542065
CC_MONTHS_BALANCE_max,0.002831529884527839
PREV_HOUR_APPR_PROCESS_START_mean,0.0025857955451782377
BUREAU_DAYS_ENDDATE_FACT_min,0.0025625306797387726
AMT_INCOME_TOTAL,0.0025213048103485125
POS_CNT_INSTALMENT_FUTURE_max,0.00250762073152333
DEF_60_CNT_SOCIAL_CIRCLE,0.0024380086009414548
