feature,VIF
DAYS_BIRTH,inf
BUREAU_BB_MONTHS_BALANCE_max_mean,inf
BUREAU_BB_MONTHS_BALANCE_mean_mean,inf
BUREAU_BB_MONTHS_BALANCE_min_mean,inf
AGE_YEARS,inf
PREV_RATE_INTEREST_PRIMARY_mean,9007199254740992.0
PREV_RATE_INTEREST_PRIVILEGED_mean,204709073971386.2
PREV_RATE_INTEREST_PRIVILEGED_max,60341657766.068146
PREV_RATE_INTEREST_PRIVILEGED_min,49151715141.03994
PREV_RATE_INTEREST_PRIMARY_min,2241273671.885239
PREV_RATE_INTEREST_PRIMARY_max,2124053901.8907816
CC_AMT_RECIVABLE_min,3206724.372095547
CC_AMT_TOTAL_RECEIVABLE_min,3192962.276218851
CC_AMT_RECIVABLE_mean,2045447.1991807276
CC_AMT_TOTAL_RECEIVABLE_mean,1789064.7725537948
CC_AMT_RECIVABLE_max,891099.0050444467
CC_AMT_TOTAL_RECEIVABLE_max,852820.4755443154
CC_AMT_BALANCE_mean,69184.19728242786
CC_AMT_RECEIVABLE_PRINCIPAL_mean,18800.98750760849
CC_AMT_BALANCE_max,16428.361936104036
YEARS_BEGINEXPLUATATION_AVG,13563.688145110964
YEARS_BUILD_MEDI,11303.73637657248
YEARS_BEGINEXPLUATATION_MEDI,10843.467213922053
YEARS_BUILD_AVG,10755.62752151739
INST_DAYS_ENTRY_PAYMENT_min,7789.12947031361
INST_DAYS_INSTALMENT_min,7756.807039997048
PREV_DAYS_FIRST_DRAWING_mean,7419.233140705139
PREV_AMT_APPLICATION_max,7055.934400858539
PREV_AMT_GOODS_PRICE_max,6947.933286392121
CC_AMT_RECEIVABLE_PRINCIPAL_max,6062.524528240754
INST_DAYS_ENTRY_PAYMENT_mean,5659.238575936569
INST_DAYS_INSTALMENT_mean,5603.289649522485
PREV_NFLAG_LAST_APPL_IN_DAY_mean,4055.6197817227417
DAYS_EMPLOYED,3911.7691895188723
FLAG_EMP_PHONE,3795.5918252557894
CC_AMT_RECEIVABLE_PRINCIPAL_min,3118.0127124134096
CC_AMT_BALANCE_min,2917.5451594370825
PREV_DAYS_FIRST_DRAWING_max,2572.554860242693
YEARS_BEGINEXPLUATATION_MODE,2023.6371279088805
YEARS_BUILD_MODE,1857.1650845940699
PREV_NFLAG_LAST_APPL_IN_DAY_max,1841.4665454454787
INST_AMT_PAYMENT_mean,1624.4470776479588
INST_AMT_PAYMENT_max,1562.441258235842
INST_AMT_INSTALMENT_max,1523.916894024493
PREV_DAYS_FIRST_DRAWING_min,1485.9153674859972
INST_AMT_INSTALMENT_mean,1414.1611745021632
PREV_DAYS_LAST_DUE_1ST_VERSION_mean,987.0881979646571
CC_AMT_PAYMENT_CURRENT_max,976.5803513348466
CC_AMT_PAYMENT_TOTAL_CURRENT_max,958.3629348706157
PREV_HOUR_APPR_PROCESS_START_mean,844.594891743892
FLOORSMIN_MEDI,668.7757480306515
PREV_AMT_CREDIT_mean,653.1379333487665
PREV_AMT_APPLICATION_mean,647.322506184724
FLOORSMAX_MEDI,630.6327787147321
ENTRANCES_MEDI,618.7946414508224
PREV_DAYS_TERMINATION_mean,578.1869285562892
PREV_DAYS_LAST_DUE_mean,571.0756520008974
PREV_NFLAG_LAST_APPL_IN_DAY_min,552.4704557750555
ENTRANCES_AVG,550.9256530224342
FLOORSMIN_AVG,548.7205133164291
FLOORSMAX_AVG,532.1823896465194
BUREAU_BB_MONTHS_BALANCE_mean_max,510.035678653261
APARTMENTS_MEDI,460.2559123877328
INST_PAYMENT_RATIO_mean,416.1047807607269
APARTMENTS_AVG,413.6658577610994
INST_DAYS_ENTRY_PAYMENT_max,412.4789893218258
INST_DAYS_INSTALMENT_max,409.83210083830255
BUREAU_BB_MONTHS_BALANCE_mean_min,403.02831869209996
BUREAU_BB_MONTHS_BALANCE_min_max,394.6561574326552
PREV_RATE_DOWN_PAYMENT_mean,391.57755101394605
PREV_AMT_DOWN_PAYMENT_mean,376.44757150333487
ELEVATORS_MEDI,355.1674602030411
PREV_DAYS_LAST_DUE_1ST_VERSION_max,342.71439966201945
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,336.24637050494033
CC_MONTHS_BALANCE_mean,333.61713471279603
OBS_60_CNT_SOCIAL_CIRCLE,333.02215261333095
OBS_30_CNT_SOCIAL_CIRCLE,332.48083088671297
PREV_DAYS_FIRST_DUE_mean,331.9189907520653
PREV_AMT_CREDIT_max,330.2071998354287
LIVINGAPARTMENTS_MEDI,328.83663622097765
CC_MONTHS_BALANCE_min,325.1817429083403
LIVINGAREA_MEDI,324.6846141956358
PREV_AMT_ANNUITY_mean,294.92105419594554
LIVINGAPARTMENTS_AVG,290.95774798334196
LIVINGAREA_AVG,288.8865615231725
ELEVATORS_AVG,287.16132321965034
PREV_DAYS_LAST_DUE_1ST_VERSION_min,278.75375031292543
PREV_HOUR_APPR_PROCESS_START_max,256.10499351045223
INST_PAYMENT_RATIO_max,248.4197144063851
PREV_AMT_GOODS_PRICE_mean,241.7236740232905
BUREAU_BB_MONTHS_BALANCE_min_min,237.33080052024567
PREV_HOUR_APPR_PROCESS_START_min,221.31038116115724
BASEMENTAREA_MEDI,207.2108934755568
COMMONAREA_MEDI,193.4443279291707
PREV_DAYS_TERMINATION_max,184.96969554750532
PREV_DAYS_LAST_DUE_max,182.88279796374798
PREV_DAYS_TERMINATION_min,178.02895933947912
BASEMENTAREA_AVG,174.78336251115928
PREV_DAYS_LAST_DUE_min,174.59206912028782
COMMONAREA_AVG,170.8675217649397
PREV_AMT_CREDIT_min,168.85810208083197
PREV_AMT_APPLICATION_min,166.90165026800716
PREV_CNT_PAYMENT_mean,164.49184768053672
FLOORSMIN_MODE,148.9536910261028
FLOORSMAX_MODE,143.56877294011574
CC_CNT_DRAWINGS_CURRENT_max,137.86046370419234
CC_CNT_DRAWINGS_CURRENT_mean,134.44211918928224
CC_CNT_DRAWINGS_POS_CURRENT_mean,129.3187602839833
INST_PAYMENT_RATIO_min,126.44159128435112
LANDAREA_MEDI,122.95608491881653
PREV_DAYS_FIRST_DUE_max,121.77920045502096
PREV_DAYS_DECISION_mean,119.06954262321719
PREV_NFLAG_INSURED_ON_APPROVAL_mean,118.87148388053254
APARTMENTS_MODE,118.02263122957112
PREV_RATE_DOWN_PAYMENT_max,116.869693641068
PREV_AMT_DOWN_PAYMENT_min,115.77789896907237
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,114.41713823503666
CC_CNT_DRAWINGS_POS_CURRENT_max,109.27839931129618
ENTRANCES_MODE,108.71167086954279
PREV_RATE_DOWN_PAYMENT_min,107.08145276941237
PREV_AMT_ANNUITY_max,101.6050756993378
PREV_SELLERPLACE_AREA_mean,98.28548745563398
AMT_CREDIT,97.9181116024497
PREV_AMT_DOWN_PAYMENT_max,97.15019370359857
PREV_DAYS_FIRST_DUE_min,90.74789730898812
AMT_GOODS_PRICE,90.55943076621388
ELEVATORS_MODE,87.55750855228099
NONLIVINGAPARTMENTS_MEDI,87.45736707032323
NONLIVINGAREA_MEDI,86.27072177364609
LANDAREA_AVG,85.61917883831453
BUREAU_AMT_CREDIT_MAX_OVERDUE_min,80.93848539365237
CC_AMT_INST_MIN_REGULARITY_mean,77.77753232235725
LIVINGAREA_MODE,77.05777302179371
PREV_AMT_ANNUITY_min,76.13875175194006
POS_CNT_INSTALMENT_FUTURE_max,75.64037919923932
POS_CNT_INSTALMENT_max,74.6655755965769
INST_PAYMENT_DIFF_mean,70.85724718290594
EXT_SOURCE_MEAN,70.47835473460623
LIVINGAPARTMENTS_MODE,70.0456404520607
BUREAU_BB_MONTHS_BALANCE_max_min,66.81907765588265
BASEMENTAREA_MODE,64.97465129937545
PREV_CNT_PAYMENT_max,63.86185249222102
NONLIVINGAREA_AVG,63.82500421001947
NONLIVINGAPARTMENTS_AVG,62.76549763683497
CC_AMT_DRAWINGS_CURRENT_mean,61.769380311556226
CC_CNT_INSTALMENT_MATURE_CUM_mean,61.02691009965133
DAYS_EMPLOYED_PERCENT,60.00545001653235
EXT_SOURCE_MIN,59.85791340733771
PREV_AMT_GOODS_PRICE_min,58.120074274974925
CC_AMT_CREDIT_LIMIT_ACTUAL_mean,54.20891179210871
CC_AMT_PAYMENT_TOTAL_CURRENT_mean,48.874176331645415
EXT_SOURCE_MAX,47.91361138862992
CC_AMT_PAYMENT_CURRENT_mean,47.729256386700584
LANDAREA_MODE,47.10770923302262
CC_CNT_INSTALMENT_MATURE_CUM_max,46.8505827856011
PREV_DAYS_DECISION_min,44.09383218062564
PREV_NFLAG_INSURED_ON_APPROVAL_max,43.66928764167743
BUREAU_DAYS_ENDDATE_FACT_mean,42.71760679811807
COMMONAREA_MODE,42.15663859161248
PREV_CNT_PAYMENT_min,41.13300262747462
CC_AMT_INST_MIN_REGULARITY_max,39.69041230015183
PREV_SELLERPLACE_AREA_max,38.748911559564085
CC_AMT_DRAWINGS_CURRENT_max,37.07111243250433
POS_CNT_INSTALMENT_mean,36.72276387998371
BUREAU_BB_MONTHS_BALANCE_max_max,36.70065357152203
PREV_DAYS_DECISION_max,33.35340454237314
POS_CNT_INSTALMENT_FUTURE_mean,33.23755658548037
PREV_NFLAG_INSURED_ON_APPROVAL_min,30.879417357757944
BUREAU_DAYS_CREDIT_mean,30.48684778687302
EXT_SOURCE_STD,28.773789898741914
CC_AMT_DRAWINGS_POS_CURRENT_mean,28.342323800595985
NONLIVINGAREA_MODE,28.077010331155094
CC_AMT_DRAWINGS_ATM_CURRENT_mean,27.274153834539167
CC_AMT_DRAWINGS_ATM_CURRENT_max,26.807509406366712
NONLIVINGAPARTMENTS_MODE,26.52769527383247
PREV_SELLERPLACE_AREA_min,26.25386965238239
CC_AMT_CREDIT_LIMIT_ACTUAL_max,25.48825305521303
CC_SK_DPD_DEF_mean,24.13794695482713
BUREAU_DAYS_ENDDATE_FACT_min,24.120327948115996
CC_SK_DPD_DEF_max,23.569196227895848
BUREAU_BB_STATUS_<lambda>_mean,23.30197883179185
CC_CNT_DRAWINGS_ATM_CURRENT_max,21.502934100986256
BUREAU_AMT_CREDIT_SUM_OVERDUE_mean,18.992777030074787
BUREAU_DAYS_CREDIT_min,18.873164257493453
POS_MONTHS_BALANCE_mean,18.68796839241897
CC_CNT_DRAWINGS_ATM_CURRENT_mean,14.911751806563512
CC_CNT_DRAWINGS_POS_CURRENT_min,14.651271895612146
CC_CNT_DRAWINGS_CURRENT_min,13.53363488993488
CC_AMT_CREDIT_LIMIT_ACTUAL_min,13.338228800699191
CC_SK_DPD_mean,13.026489648153266
CC_SK_DPD_max,12.979314917131296
BUREAU_AMT_CREDIT_SUM_mean,12.793453593960963
CREDIT_INCOME_RATIO,12.453349381643436
BUREAU_AMT_CREDIT_SUM_DEBT_mean,11.926723541465524
INST_NUM_INSTALMENT_NUMBER_mean,11.705534003582931
BUREAU_DAYS_CREDIT_UPDATE_mean,11.646744301411228
INST_NUM_INSTALMENT_VERSION_mean,11.642594131819235
INST_AMT_INSTALMENT_min,11.323001222679471
BUREAU_BB_STATUS_<lambda>_max,11.1977807289651
REGION_RATING_CLIENT,11.04018611206623
REGION_RATING_CLIENT_W_CITY,10.91081106820055
TOTALAREA_MODE,10.8223901813163
POS_MONTHS_BALANCE_min,10.513206338808576
INST_NUM_INSTALMENT_NUMBER_max,10.320736968062898
